t_n8	t_n9	t_n10	t_n11	t_n12	t_n13
run1	0.582574434553272	0.139863012669367	0.104822868071596	0.0699863564671766	0.0349588120293985	0.0692394379431028
run2	0.581728332023399	0.139717229883506	0.104522257352132	0.0699742142142893	0.0347894294885256	0.0702889833058347
run3	0.581433367171641	0.139969024653767	0.105055411359432	0.0699673929103545	0.0349996128643568	0.0697896697765112
run4	0.583501168911554	0.139897479751012	0.104898656737163	0.070028601759912	0.0349229990150492	0.0702144915754212
run5	0.586227634613269	0.139852394715264	0.104766921123944	0.0700184948702565	0.0348407350632468	0.0695753641317934
run6	0.584099676096195	0.13985590100495	0.104855817834108	0.0700386465376731	0.0349824098095095	0.0699780034098295
