t_n8	t_n9	t_n10	t_n11	t_n12	t_n13
run1	0.16308	0.1200285	0.0682042	0.0599921	0.001724	0.00340120000000002
run2	0.1622362	0.1199557	0.0682818	0.0599956	0.0018442	0.00336260000000001
run3	0.1619334	0.1200397	0.0681299	0.060001	0.0018142	0.0034934
run4	0.1605649	0.120014	0.0683295	0.059993	0.0016408	0.0034377
run5	0.1633522	0.1200456	0.0680425	0.0600138	0.0017257	0.0034338
run6	0.1613883	0.1199788	0.0685609	0.0600264	0.0017105	0.00334
