t_n8	t_n9	t_n10	t_n11	t_n12	t_n13
run1	1.0036065	0.1600265	0.1475178	0.0799769	0.0716191	0.1421641
run2	1.0026863	0.1599188	0.1473392	0.0800128	0.0715898	0.1423195
run3	1.0016089	0.1600024	0.1476444	0.0800184	0.0716833	0.1422237
run4	1.0041142	0.1599648	0.147213	0.0800133	0.0713646	0.1422989
run5	1.0051225	0.1600051	0.147385	0.0800446	0.0714662	0.1418345
run6	1.0039819	0.1600107	0.1473102	0.0800233	0.0713904	0.1421828
