t_n8	t_n9	t_n10	t_n11	t_n12	t_n13
run1	0.1476598	0.1328411	0.086448	0.0630784	0.0240433	0.0441852
run2	0.1479048	0.1329766	0.0864308	0.0631119	0.0239637	0.0441672
run3	0.1479476	0.1328548	0.0862158	0.0629353	0.024058	0.0441014
run4	0.1475353	0.1328102	0.0861791	0.0627917	0.0239552	0.0439867
run5	0.1481419	0.1332095	0.0863685	0.0630232	0.0239851	0.044008
run6	0.1477305	0.1328919	0.0862554	0.0630505	0.0239958	0.0440727
