Name,LeafA,LeafB,YoungAge,YoungProbabilityMass,OldAge,OldProbabilityMass
AerobicityXGBoost1771,ProtA48,ProtA76,,,2315.0,2.5e-2
AerobicityXGBoost1772,ProtG14,ProtG18,,,2315.0,2.5e-2
AerobicityXGBoost1773,ProtG84,ProtG90,,,2315.0,2.5e-2
AerobicityXGBoost1774,ProtG30,ProtG87,,,2315.0,2.5e-2
AerobicityXGBoost1776,ProtG32,ProtG37,,,2315.0,2.5e-2
AerobicityXGBoost1777,ProtG85,ProtG88,,,2315.0,2.5e-2
AerobicityXGBoost1781,UBA1X2,UBA1X6,,,2315.0,2.5e-2
AerobicityXGBoost1785,Acid10,Acid38,,,2315.0,2.5e-2
AerobicityXGBoost1786,Acid34,Acid38,,,2315.0,2.5e-2
AerobicityXGBoost1788,Acti46,Acti50,,,2315.0,2.5e-2
AerobicityXGBoost1789,Acti10,Acti26,,,2315.0,2.5e-2
AerobicityXGBoost1791,Bact2,Bact25,,,2315.0,2.5e-2
AerobicityXGBoost1792,Bact21,Bact27,,,2315.0,2.5e-2
AerobicityXGBoost1793,Bdell17,Bdell6,,,2315.0,2.5e-2
AerobicityXGBoost1797,Cyan10,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1806,Firms33,Firms9,,,2315.0,2.5e-2
AerobicityXGBoost1809,Myxo10,Myxo14,,,2315.0,2.5e-2
AerobicityXGBoost1817,ProtA3,ProtA76,,,2315.0,2.5e-2
AerobicityXGBoost1818,ProtG18,ProtG24,,,2315.0,2.5e-2
AerobicityXGBoost1819,ProtG30,ProtG49,,,2315.0,2.5e-2
AerobicityXGBoost1820,ProtG33,ProtG67,,,2315.0,2.5e-2
AerobicityXGBoost1821,ProtG32,ProtG33,,,2315.0,2.5e-2
AerobicityXGBoost1822,ProtG58,ProtG85,,,2315.0,2.5e-2
AerobicityXGBoost1826,Bdell6,UBA1X6,,,2315.0,2.5e-2
AerobicityXGBoost1830,Acid1,Acid38,,,2315.0,2.5e-2
AerobicityXGBoost1832,Acti43,Acti50,,,2315.0,2.5e-2
AerobicityXGBoost1833,Arma4,Erem6,,,2315.0,2.5e-2
AerobicityXGBoost1834,Bact24,Bact25,,,2315.0,2.5e-2
AerobicityXGBoost1835,Bact27,Bact37,,,2315.0,2.5e-2
AerobicityXGBoost1838,Cyan24,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1846,Firms30,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1848,Myxo10,Myxo11,,,2315.0,2.5e-2
AerobicityXGBoost1853,ProtA19,ProtA3,,,2315.0,2.5e-2
AerobicityXGBoost1854,ProtG24,ProtG36,,,2315.0,2.5e-2
AerobicityXGBoost1855,ProtG30,ProtG84,,,2315.0,2.5e-2
AerobicityXGBoost1860,Acid38,Acid5,,,2315.0,2.5e-2
AerobicityXGBoost1861,Acti14,Acti50,,,2315.0,2.5e-2
AerobicityXGBoost1862,Arma4,CSP1X1,,,2315.0,2.5e-2
AerobicityXGBoost1863,Bact23,Bact24,,,2315.0,2.5e-2
AerobicityXGBoost1864,Bact22,Bact27,,,2315.0,2.5e-2
AerobicityXGBoost1867,Cyan14,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1873,Firms20,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1875,MyxA1,Myxo10,,,2315.0,2.5e-2
AerobicityXGBoost1879,ProtA14,ProtA19,,,2315.0,2.5e-2
AerobicityXGBoost1880,ProtG36,ProtG38,,,2315.0,2.5e-2
AerobicityXGBoost1881,ProtG30,ProtG35,,,2315.0,2.5e-2
AerobicityXGBoost1886,Acti18,Acti50,,,2315.0,2.5e-2
AerobicityXGBoost1890,Cyan19,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1896,Firms21,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1897,Bdell6,Myxo10,,,2315.0,2.5e-2
AerobicityXGBoost1899,ProtA19,ProtA75,,,2315.0,2.5e-2
AerobicityXGBoost1900,ProtG31,ProtG36,,,2315.0,2.5e-2
AerobicityXGBoost1901,ProtG30,ProtG34,,,2315.0,2.5e-2
AerobicityXGBoost1905,Acti10,Acti50,,,2315.0,2.5e-2
AerobicityXGBoost1909,Cyan36,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1913,Firms16,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1916,ProtA19,ProtA56,,,2315.0,2.5e-2
AerobicityXGBoost1917,ProtG31,ProtG45,,,2315.0,2.5e-2
AerobicityXGBoost1922,Bact24,Bact27,,,2315.0,2.5e-2
AerobicityXGBoost1924,Cyan38,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1928,Firms15,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1930,ProtA19,ProtA20,,,2315.0,2.5e-2
AerobicityXGBoost1931,ProtG31,ProtG32,,,2315.0,2.5e-2
AerobicityXGBoost1936,Cyan37,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1940,Firms33,Firms5,,,2315.0,2.5e-2
AerobicityXGBoost1942,ProtA18,ProtA19,,,2315.0,2.5e-2
AerobicityXGBoost1943,ProtG30,ProtG31,,,2315.0,2.5e-2
AerobicityXGBoost1946,Chlo30,Chlo38,,,2315.0,2.5e-2
AerobicityXGBoost1947,Cyan40,Cyan42,,,2315.0,2.5e-2
AerobicityXGBoost1950,Firms33,Firms7,,,2315.0,2.5e-2
AerobicityXGBoost1951,ProtA18,ProtA34,,,2315.0,2.5e-2
AerobicityXGBoost1952,ProtG30,ProtG50,,,2315.0,2.5e-2
AerobicityXGBoost1955,Chlo30,Dorm2,,,2315.0,2.5e-2
AerobicityXGBoost1956,Cyan20,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1958,Firms11,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1959,ProtA34,ProtA39,,,2315.0,2.5e-2
AerobicityXGBoost1960,ProtG30,ProtG42,,,2315.0,2.5e-2
AerobicityXGBoost1965,Firms22,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1966,ProtA26,ProtA34,,,2315.0,2.5e-2
AerobicityXGBoost1967,ProtG30,ProtG85,,,2315.0,2.5e-2
AerobicityXGBoost1971,Firms3,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1973,ProtG30,ProtG80,,,2315.0,2.5e-2
AerobicityXGBoost1976,Firms13,Firms33,,,2315.0,2.5e-2
AerobicityXGBoost1978,ProtG30,ProtG71,,,2315.0,2.5e-2
